"Prefer","ThoughtAbout","CareAbout","Gender","Age","Household.Income","Education","Location"
"Singular","Yes","Not much","Female","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"Singular","No","A lot","Female","> 60","","Some college or Associate degree","East North Central"
"Singular","No","Not at all","Female","> 60","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"Singular","No","Not much","Male","18-29","$0 - $24,999","Bachelor degree","Middle Atlantic"
"Singular","No","Not much","Female","45-60","$150,000+","Bachelor degree","Middle Atlantic"
"Singular","Yes","A lot","Male","45-60","$100,000 - $149,999","Bachelor degree","Pacific"
"Plural","Yes","Not much","Male","> 60","$150,000+","Some college or Associate degree","South Atlantic"
"Singular","No","Not at all","Female","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central"
"Singular","Yes","Some","Male","45-60","","Bachelor degree","West North Central"
"Plural","Yes","Some","Male","45-60","","Bachelor degree","Middle Atlantic"
"Singular","No","Not at all","Female","18-29","","High school degree","New England"
