"crime","date","neighborhood"
"LARCENY-NON VEHICLE","07/01/2013","Greenbriar"
"BURGLARY-NONRES","02/22/2010","Mechanicsville"
"LARCENY-NON VEHICLE","06/20/2013","Perkerson"
"LARCENY-NON VEHICLE","08/20/2014","Florida Heights"
"LARCENY-NON VEHICLE","11/03/2015","Downtown"
"ROBBERY-PEDESTRIAN","01/18/2009","English Avenue"
"LARCENY-NON VEHICLE","01/02/2011","Chastain Park"
"ROBBERY-PEDESTRIAN","04/02/2011","Home Park"
"LARCENY-FROM VEHICLE","09/05/2012","Orchard Knob"
"AUTO THEFT","12/21/2016","Reynoldstown"
"LARCENY-NON VEHICLE","06/08/2015","Lenox"
"ROBBERY-PEDESTRIAN","01/13/2014","West End"
"LARCENY-FROM VEHICLE","07/07/2012","Poncey-Highland"
"BURGLARY-RESIDENCE","05/19/2012","Peoplestown"
"LARCENY-FROM VEHICLE","06/19/2015","East Atlanta"
"AGG ASSAULT","03/23/2014","West End"
"ROBBERY-PEDESTRIAN","05/08/2016","Old Fourth Ward"
"ROBBERY-PEDESTRIAN","09/02/2014","Atlanta University Center"
"LARCENY-FROM VEHICLE","12/18/2009","Old Fourth Ward"
"LARCENY-FROM VEHICLE","06/10/2012","Midtown"
"BURGLARY-RESIDENCE","09/28/2015","Greenbriar"
"LARCENY-FROM VEHICLE","03/30/2016","Downtown"
"LARCENY-NON VEHICLE","09/21/2011","South Tuxedo Park"
"AUTO THEFT","05/10/2011","Downtown"
"BURGLARY-RESIDENCE","07/07/2013","Perkerson"
"AUTO THEFT","07/07/2014","South River Gardens"
"AGG ASSAULT","04/06/2011","Hammond Park"
"AUTO THEFT","11/11/2012","Dixie Hills"
"LARCENY-FROM VEHICLE","08/31/2009","Fort Valley"
"LARCENY-NON VEHICLE","02/29/2012","West End"
"LARCENY-NON VEHICLE","03/10/2014","Vine City"
"LARCENY-FROM VEHICLE","11/16/2010","Westview"
"BURGLARY-RESIDENCE","12/09/2010","Morningside/Lenox Park"
"LARCENY-NON VEHICLE","05/30/2009","Dixie Hills"
